fecha,tpm
2026-01-07,4.5
2026-01-08,4.5
2026-01-09,4.5
2026-01-12,4.5
2026-01-13,4.5
2026-01-14,4.5
2026-01-15,4.5
2026-01-16,4.5
2026-01-19,4.5
2026-01-20,4.5
2026-01-21,4.5
2026-01-22,4.5
2026-01-23,4.5
2026-01-26,4.5
2026-01-27,4.5
2026-01-28,4.5
2026-01-29,4.5
2026-01-30,4.5
2026-02-02,4.5
2026-02-03,4.5
2026-02-04,4.5
2026-02-05,4.5
2026-02-06,4.5
2026-02-09,4.5
2026-02-10,4.5
2026-02-11,4.5
2026-02-12,4.5
2026-02-13,4.5
2026-02-16,4.5
2026-02-17,4.5
2026-02-18,4.5
2026-02-19,4.5
2026-02-20,4.5
