fecha,uf
2026-01-19,39736.85
2026-01-20,39734.28
2026-01-21,39731.72
2026-01-22,39729.15
2026-01-23,39726.59
2026-01-24,39724.02
2026-01-25,39721.45
2026-01-26,39718.89
2026-01-27,39716.32
2026-01-28,39713.76
2026-01-29,39711.2
2026-01-30,39708.63
2026-01-31,39706.07
2026-02-01,39703.5
2026-02-02,39700.94
2026-02-03,39698.37
2026-02-04,39695.81
2026-02-05,39693.25
2026-02-06,39690.68
2026-02-07,39688.12
2026-02-08,39685.56
2026-02-09,39682.99
2026-02-10,39688.65
2026-02-11,39694.31
2026-02-12,39699.97
2026-02-13,39705.63
2026-02-14,39711.29
2026-02-15,39716.95
2026-02-16,39722.61
2026-02-17,39728.28
2026-02-18,39733.94
2026-02-19,39739.61
2026-02-20,39745.27
